# Matter power spectrum P(k) at redshift z=0
# for k=1.05341e-05 to 9.75079 h/Mpc,
# number of wavenumbers equal to 760
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.581307510657e-02       1.337554999308e+04 
       4.610539808233e-02       1.330048456203e+04 
       4.640490432519e-02       1.322509043995e+04 
       4.671207745528e-02       1.314937978126e+04 
       4.702744833327e-02       1.307331491898e+04 
       4.735160120154e-02       1.299679185800e+04 
       4.768518082347e-02       1.291982895290e+04 
       4.802890081526e-02       1.284238054115e+04 
       4.838355340834e-02       1.276436724874e+04 
       4.875002093620e-02       1.268580875966e+04 
       4.912928940828e-02       1.260654536723e+04 
       4.952246462188e-02       1.252660939921e+04 
       4.993079137424e-02       1.244583583369e+04 
       5.035567647897e-02       1.236421257028e+04 
       5.079871647125e-02       1.228166033981e+04 
       5.126173111715e-02       1.219801418277e+04 
       5.174680413483e-02       1.211312470575e+04 
       5.225633290766e-02       1.202691322605e+04 
       5.279308943521e-02       1.193917574159e+04 
       5.336029534528e-02       1.184974472864e+04 
       5.396171448167e-02       1.175834009211e+04 
       5.460176737035e-02       1.166466824129e+04 
       5.528567267066e-02       1.156833694194e+04 
       5.601962133335e-02       1.146886723306e+04 
       5.681098915187e-02       1.136563753199e+04 
       5.766859174255e-02       1.125786519001e+04 
       5.860298082104e-02       1.114449186807e+04 
       5.962676839221e-02       1.102412799949e+04 
       6.075493992891e-02       1.089494103231e+04 
       6.200506916512e-02       1.075443137493e+04 
       6.339726431736e-02       1.059926708446e+04 
       6.495355482346e-02       1.042496653434e+04 
       6.669630272375e-02       1.022590539605e+04 
       6.864522119685e-02       9.995160997300e+03 
       7.081296644978e-02       9.725373727414e+03 
       7.320027726671e-02       9.410327480503e+03 
       7.579292118064e-02       9.047354756906e+03 
       7.856287538733e-02       8.639492795934e+03 
       8.147401856503e-02       8.196339256909e+03 
       8.448957408136e-02       7.733062130735e+03 
       8.757778159234e-02       7.267876888491e+03 
       9.071427115661e-02       6.818867687469e+03 
       9.388182698343e-02       6.401394458140e+03 
       9.706894566110e-02       6.026647098795e+03 
       1.002682144244e-01       5.701058589917e+03 
       1.034749652447e-01       5.426373528943e+03 
       1.066863004302e-01       5.200169909111e+03 
       1.099004370226e-01       5.016936196855e+03 
       1.131162837942e-01       4.868804129829e+03 
       1.163331749685e-01       4.746482066680e+03 
       1.195507050455e-01       4.640177748709e+03 
       1.227686272419e-01       4.540452488322e+03 
       1.259867913778e-01       4.439031817751e+03 
       1.292051060088e-01       4.329498038657e+03 
       1.324235153846e-01       4.207799720117e+03 
       1.356419854443e-01       4.072416728921e+03 
       1.388604953092e-01       3.924238622630e+03 
       1.420790321172e-01       3.766189783105e+03 
       1.452975878865e-01       3.602591282342e+03 
       1.480253419385e-01       3.463317812534e+03 
       1.485161576105e-01       3.438464434088e+03 
       1.517347381012e-01       3.278864591984e+03 
       1.549533272854e-01       3.128302291018e+03 
       1.581719237777e-01       2.990315667895e+03 
       1.613905266192e-01       2.867219912139e+03 
       1.646091351191e-01       2.760055989664e+03 
       1.678277487570e-01       2.668618748444e+03 
       1.710463671236e-01       2.591622583539e+03 
       1.742649898836e-01       2.526945027626e+03 
       1.774836167526e-01       2.471877436074e+03 
       1.807022474828e-01       2.423391308635e+03 
       1.839208818539e-01       2.378734619702e+03 
       1.871395196666e-01       2.335197179974e+03 
       1.903581607390e-01       2.289847644565e+03 
       1.935768049036e-01       2.240966217034e+03 
       1.967954520053e-01       2.187622460452e+03 
       2.000141018997e-01       2.129689435590e+03 
       2.032327544524e-01       2.067729700280e+03 
       2.064514095376e-01       2.002855656256e+03 
       2.096700670375e-01       1.936542160734e+03 
       2.128887268415e-01       1.870405233789e+03 
       2.161073888458e-01       1.806010622168e+03 
       2.193260529528e-01       1.744738491522e+03 
       2.225447190706e-01       1.687660489168e+03 
       2.257633871124e-01       1.635484055940e+03 
       2.289820569967e-01       1.588522299511e+03 
       2.322007286462e-01       1.546740088960e+03 
       2.354194019881e-01       1.509754723212e+03 
       2.386380769534e-01       1.476932014913e+03 
       2.418567534769e-01       1.447439444812e+03 
       2.450754314967e-01       1.420351088666e+03 
       2.482941109543e-01       1.394711964514e+03 
       2.515127917942e-01       1.369626179376e+03 
       2.547314739636e-01       1.344337991607e+03 
       2.579501574125e-01       1.318277494914e+03 
       2.611688420932e-01       1.291093876152e+03 
       2.643875279605e-01       1.262662554362e+03 
       2.676062149714e-01       1.233098308628e+03 
       2.708249030847e-01       1.202684741066e+03 
       2.740435922615e-01       1.171840245362e+03 
       2.772622824645e-01       1.141067090808e+03 
       2.804809736582e-01       1.110872253890e+03 
       2.836996658086e-01       1.081723317628e+03 
       2.869183588833e-01       1.054002171865e+03 
       2.901370528515e-01       1.027979666202e+03 
       2.933557476836e-01       1.003798493969e+03 
       2.965744433513e-01       9.814728969903e+02 
       2.997931398275e-01       9.609062447609e+02 
       3.030118370863e-01       9.419009255900e+02 
       3.062305351030e-01       9.241962818664e+02 
       3.094492338537e-01       9.074909888007e+02 
       3.126679333157e-01       8.914808878045e+02 
       3.158866334671e-01       8.758742914580e+02 
       3.191053342870e-01       8.604213638952e+02 
       3.223240357552e-01       8.449298549868e+02 
       3.255427378524e-01       8.292754883490e+02 
       3.287614405600e-01       8.134004430754e+02 
       3.319801438602e-01       7.973133631702e+02 
       3.351988477359e-01       7.810830502267e+02 
       3.384175521705e-01       7.648203797171e+02 
       3.416362571482e-01       7.486608373867e+02 
       3.448549626537e-01       7.327551562146e+02 
       3.480736686723e-01       7.172414102209e+02 
       3.512923751898e-01       7.022471842677e+02 
       3.545110821926e-01       6.878662855758e+02 
       3.577297896675e-01       6.741579384414e+02 
       3.609484976018e-01       6.611404606592e+02 
       3.641672059833e-01       6.487974351396e+02 
       3.673859148002e-01       6.370787454607e+02 
       3.706046240411e-01       6.259118427835e+02 
       3.738233336950e-01       6.152059947026e+02 
       3.770420437513e-01       6.048643370043e+02 
       3.802607541997e-01       5.947914876881e+02 
       3.834794650302e-01       5.849046713101e+02 
       3.866981762334e-01       5.751357841533e+02 
       3.899168878000e-01       5.654357919281e+02 
       3.931355997209e-01       5.557806453565e+02 
       3.963543119875e-01       5.461628650090e+02 
       3.995730245915e-01       5.365946904438e+02 
       4.027917375247e-01       5.271002928148e+02 
       4.060104507793e-01       5.177140157676e+02 
       4.092291643475e-01       5.084723433422e+02 
       4.124478782222e-01       4.994142697158e+02 
       4.156665923961e-01       4.905729680147e+02 
       4.188853068622e-01       4.819755364018e+02 
       4.221040216140e-01       4.736402460600e+02 
       4.253227366448e-01       4.655771490852e+02 
       4.285414519484e-01       4.577859204964e+02 
       4.317601675186e-01       4.502586675984e+02 
       4.349788833496e-01       4.429808517757e+02 
       4.381975994354e-01       4.359304150405e+02 
       4.414163157706e-01       4.290832582851e+02 
       4.446350323498e-01       4.224128820983e+02 
       4.478537491675e-01       4.158938597984e+02 
       4.510724662187e-01       4.095014423004e+02 
       4.542911834985e-01       4.032149409123e+02 
       4.575099010019e-01       3.970179842081e+02 
       4.607286187244e-01       3.908984627437e+02 
       4.639473366612e-01       3.848505336594e+02 
       4.671660548079e-01       3.788746170762e+02 
       4.703847731604e-01       3.729747224730e+02 
       4.736034917142e-01       3.671585792107e+02 
       4.768222104653e-01       3.614361858917e+02 
       4.800409294098e-01       3.558195411469e+02 
       4.832596485438e-01       3.503183137041e+02 
       4.864783678635e-01       3.449419650469e+02 
       4.896970873652e-01       3.396974027695e+02 
       4.929158070453e-01       3.345879732053e+02 
       4.961345269005e-01       3.296129816673e+02 
       4.993532469271e-01       3.247690399033e+02 
       5.025719671221e-01       3.200496325350e+02 
       5.057906874821e-01       3.154453279530e+02 
       5.090094080040e-01       3.109459238979e+02 
       5.122281286847e-01       3.065407905158e+02 
       5.154468495212e-01       3.022197610763e+02 
       5.186655705108e-01       2.979733461579e+02 
       5.218842916504e-01       2.937947104004e+02 
       5.251030129373e-01       2.896792139989e+02 
       5.283217343689e-01       2.856235796520e+02 
       5.315404559425e-01       2.816271830826e+02 
       5.347591776555e-01       2.776908420006e+02 
       5.379778995054e-01       2.738159124376e+02 
       5.411966214898e-01       2.700048996340e+02 
       5.444153436063e-01       2.662603090974e+02 
       5.476340658525e-01       2.625847628779e+02 
       5.508527882262e-01       2.589802809907e+02 
       5.540715107251e-01       2.554472145720e+02 
       5.572902333470e-01       2.519855921756e+02 
       5.605089560899e-01       2.485953462755e+02 
       5.637276789516e-01       2.452742472226e+02 
       5.669464019302e-01       2.420204321816e+02 
       5.701651250236e-01       2.388315612399e+02 
       5.733838482299e-01       2.357044937132e+02 
       5.766025715472e-01       2.326367153084e+02 
       5.798212949736e-01       2.296248079157e+02 
       5.830400185074e-01       2.266657113314e+02 
       5.862587421467e-01       2.237574107364e+02 
