#scalar perturbations for mode k = 1.000000000000e+00 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_cdm             14:theta_cdm             15:delta_ncdm[0]         16:theta_ncdm[0]         17:shear_ncdm[0]         18:cs2_ncdm[0]        
       1.291288676330e+00       2.791425547831e-06      -1.818859633338e+00       3.605315788693e-01       2.205424110622e-06       5.513560276555e-06       1.897279923965e-11       1.102712055311e-06      -1.364144726230e+00       3.605315844893e-01       6.302118960136e-01       6.302165887763e-01      -1.382926637439e+00       4.179548576580e-01      -5.215962654135e-01      -5.759251560487e-02       1.349361922336e-08       3.333332670646e-01 
       1.291288702101e+00       2.791425603672e-06      -1.818859651405e+00       3.605315833900e-01       2.205424226511e-06       5.513560566277e-06       1.897280099569e-11       1.102712113255e-06      -1.364144739781e+00       3.605315890100e-01       6.302118909792e-01       6.302165873566e-01      -1.382926652469e+00       4.179548655275e-01      -5.215962849007e-01      -5.759251896531e-02       1.596493180357e-08       3.333332670646e-01 
       1.291288727871e+00       2.791425659513e-06      -1.818859669472e+00       3.605315879107e-01       2.205424342399e-06       5.513560855999e-06       1.897280275174e-11       1.102712171200e-06      -1.364144753331e+00       3.605315935307e-01       6.302118859468e-01       6.302165859368e-01      -1.382926667500e+00       4.179548733970e-01      -5.215963043878e-01      -5.759252232575e-02       1.843488571839e-08       3.333332670646e-01 
       1.291288824829e+00       2.791425869606e-06      -1.818859737448e+00       3.605316049192e-01       2.205424778415e-06       5.513561946038e-06       1.897280935862e-11       1.102712389208e-06      -1.364144804313e+00       3.605316105391e-01       6.302118670309e-01       6.302165805950e-01      -1.382926724049e+00       4.179549030048e-01      -5.215963777055e-01      -5.759253496896e-02       2.771559445890e-08       3.333332670646e-01 
       1.291288921787e+00       2.791426079700e-06      -1.818859805423e+00       3.605316219276e-01       2.205425214431e-06       5.513563036078e-06       1.897281596551e-11       1.102712607216e-06      -1.364144855294e+00       3.605316275476e-01       6.302118481430e-01       6.302165752533e-01      -1.382926780598e+00       4.179549326127e-01      -5.215964510232e-01      -5.759254761217e-02       3.697712391920e-08       3.333332670646e-01 
       1.291289018744e+00       2.791426289793e-06      -1.818859873399e+00       3.605316389360e-01       2.205425650447e-06       5.513564126117e-06       1.897282257240e-11       1.102712825223e-06      -1.364144906276e+00       3.605316445560e-01       6.302118292832e-01       6.302165699115e-01      -1.382926837147e+00       4.179549622205e-01      -5.215965243409e-01      -5.759256025538e-02       4.621951595327e-08       3.333332670646e-01 
       1.291289115702e+00       2.791426499886e-06      -1.818859941374e+00       3.605316559445e-01       2.205426086463e-06       5.513565216157e-06       1.897282917928e-11       1.102713043231e-06      -1.364144957258e+00       3.605316615645e-01       6.302118104512e-01       6.302165645698e-01      -1.382926893697e+00       4.179549918284e-01      -5.215965976586e-01      -5.759257289859e-02       5.544281237310e-08       3.333332670646e-01 
       1.291289212660e+00       2.791426709980e-06      -1.818860009350e+00       3.605316729529e-01       2.205426522479e-06       5.513566306197e-06       1.897283578618e-11       1.102713261239e-06      -1.364145008239e+00       3.605316785729e-01       6.302117916472e-01       6.302165592280e-01      -1.382926950246e+00       4.179550214363e-01      -5.215966709763e-01      -5.759258554181e-02       6.464705490733e-08       3.333332670646e-01 
       1.291289309618e+00       2.791426920073e-06      -1.818860077325e+00       3.605316899613e-01       2.205426958495e-06       5.513567396237e-06       1.897284239307e-11       1.102713479247e-06      -1.364145059221e+00       3.605316955813e-01       6.302117728709e-01       6.302165538863e-01      -1.382927006795e+00       4.179550510441e-01      -5.215967442941e-01      -5.759259818502e-02       7.383228517088e-08       3.333332670646e-01 
       1.291289590402e+00       2.791427528491e-06      -1.818860274178e+00       3.605317392167e-01       2.205428221170e-06       5.513570552925e-06       1.897286152623e-11       1.102714110585e-06      -1.364145206860e+00       3.605317448367e-01       6.302117186524e-01       6.302165384169e-01      -1.382927170558e+00       4.179551367866e-01      -5.215969566177e-01      -5.759263479902e-02       1.003252778663e-07       3.333332670646e-01 
       1.291289871185e+00       2.791428136908e-06      -1.818860471031e+00       3.605317884720e-01       2.205429483846e-06       5.513573709615e-06       1.897288065941e-11       1.102714741923e-06      -1.364145354500e+00       3.605317940920e-01       6.302116646651e-01       6.302165229475e-01      -1.382927334321e+00       4.179552225291e-01      -5.215971689414e-01      -5.759267141305e-02       1.266601761990e-07       3.333332670645e-01 
